"","edition","round","score","team1","team2","url","venue","year"
"1","1930-URUGUAY","GROUP_STAGE","4-1 (3-0)","France","Mexico (México)","1930_URUGUAY_FS.htm#1-WC-30-I","Montevideo.",1930
"2","1930-URUGUAY","GROUP_STAGE","3-0 (2-0)","USA","Belgium (België)","1930_URUGUAY_FS.htm#13-WC-30-I","Montevideo.",1930
"3","1930-URUGUAY","GROUP_STAGE","2-1 (2-0)","Yugoslavia (Југославија)","Brazil (Brasil)","1930_URUGUAY_FS.htm#7-WC-30-I","Montevideo.",1930
"4","1930-URUGUAY","GROUP_STAGE","3-1 (1-0)","Romania (România)","Peru (Perú)","1930_URUGUAY_FS.htm#10-WC-30-I","Montevideo.",1930
"5","1930-URUGUAY","GROUP_STAGE","1-0 (0-0)","Argentina","France","1930_URUGUAY_FS.htm#2-WC-30-I","Montevideo.",1930
"6","1930-URUGUAY","GROUP_STAGE","3-0 (1-0)","Chile","Mexico (México)","1930_URUGUAY_FS.htm#3-WC-30-I","Montevideo.",1930
"7","1930-URUGUAY","GROUP_STAGE","4-0 (0-0)","Yugoslavia (Југославија)","Bolivia","1930_URUGUAY_FS.htm#8-WC-30-I","Montevideo.",1930
"8","1930-URUGUAY","GROUP_STAGE","3-0 (2-0)","USA","Paraguay","1930_URUGUAY_FS.htm#14-WC-30-I","Montevideo.",1930
"9","1930-URUGUAY","GROUP_STAGE","1-0 (0-0)","Uruguay","Peru (Perú)","1930_URUGUAY_FS.htm#11-WC-30-I","Montevideo.",1930
"10","1930-URUGUAY","GROUP_STAGE","1-0 (0-0)","Chile","France","1930_URUGUAY_FS.htm#4-WC-30-I","Montevideo.",1930
"11","1930-URUGUAY","GROUP_STAGE","6-3 (3-1)","Argentina","Mexico (México)","1930_URUGUAY_FS.htm#5-WC-30-I","Montevideo.",1930
"12","1930-URUGUAY","GROUP_STAGE","4-0 (1-0)","Brazil (Brasil)","Bolivia","1930_URUGUAY_FS.htm#9-WC-30-I","Montevideo.",1930
"13","1930-URUGUAY","GROUP_STAGE","1-0 (1-0)","Paraguay","Belgium (België)","1930_URUGUAY_FS.htm#15-WC-30-I","Montevideo.",1930
"14","1930-URUGUAY","GROUP_STAGE","4-0 (4-0)","Uruguay","Romania (România)","1930_URUGUAY_FS.htm#12-WC-30-I","Montevideo.",1930
"15","1930-URUGUAY","GROUP_STAGE","3-1 (2-1)","Argentina","Chile","1930_URUGUAY_FS.htm#6-WC-30-I","Montevideo.",1930
"16","1930-URUGUAY","1/2_FINAL","6-1 (1-0)","Argentina","USA","1930_URUGUAY_FS.htm#16-WC-30-II","Montevideo.",1930
"17","1930-URUGUAY","1/2_FINAL","6-1 (3-1)","Uruguay","Yugoslavia (Југославија)","1930_URUGUAY_FS.htm#17-WC-30-II","Montevideo.",1930
"18","1930-URUGUAY","_FINAL","4-2 (1-2)","Uruguay","Argentina","1930_URUGUAY_FS.htm#18-WC-30-III","Montevideo.",1930
"19","1934-ITALY","PRELIMINARY-Europe","6-2 (4-0)","Sweden (Sverige)","Estonia (Eesti)","1934_ITALY_PR.htm","Stockholm.",1933
"20","1934-ITALY","PRELIMINARY-Europe","0-2 (0-0)","Lithuania (Lietuva)","Sweden (Sverige)","1934_ITALY_PR.htm","Kaunas.",1933
"21","1934-ITALY","PRELIMINARY-Europe","2-2 (0-0)","Yugoslavia (Југославија)","Switzerland (Schweiz / Suisse)","1934_ITALY_PR.htm","Beograd.",1933
"22","1934-ITALY","PRELIMINARY-Europe","1-2 (0-1)","Poland (Polska)","Czechoslovakia (Československo)","1934_ITALY_PR.htm","Warszawa.",1933
